"","dtime","rainfall_in","gage_uid","gage_event_uid"
"1",2025-03-05 14:15:00,0.03,25,56577
"2",2025-03-05 14:30:00,0.02,25,56577
"3",2025-03-05 14:45:00,0.02,25,56577
"4",2025-03-05 15:00:00,0.01,25,56577
"5",2025-03-05 15:15:00,0.04,25,56577
"6",2025-03-05 15:30:00,0.05,25,56577
"7",2025-03-05 15:45:00,0.17,25,56577
"8",2025-03-05 16:00:00,0.2,25,56577
"9",2025-03-05 16:15:00,0.14,25,56577
"10",2025-03-05 16:30:00,0.12,25,56577
"11",2025-03-05 16:45:00,0.09,25,56577
"12",2025-03-05 17:00:00,0.15,25,56577
"13",2025-03-05 17:15:00,0.06,25,56577
"14",2025-03-05 17:30:00,0.07,25,56577
"15",2025-03-05 17:45:00,0.08,25,56577
"16",2025-03-05 18:00:00,0.06,25,56577
"17",2025-03-05 18:15:00,0.02,25,56577
"18",2025-03-05 18:30:00,0.01,25,56577
"19",2025-03-16 23:30:00,0.05,25,56578
"20",2025-03-16 23:45:00,0.39,25,56578
"21",2025-03-17,0.1,25,56578
"22",2025-03-17 00:15:00,0.09,25,56578
"23",2025-03-17 00:30:00,0.09,25,56578
"24",2025-03-17 00:45:00,0.06,25,56578
"25",2025-03-17 01:00:00,0.05,25,56578
"26",2025-03-17 01:15:00,0.06,25,56578
"27",2025-03-17 01:30:00,0.03,25,56578
"28",2025-03-17 01:45:00,0.06,25,56578
"29",2025-03-17 02:00:00,0.07,25,56578
"30",2025-03-17 02:15:00,0.04,25,56578
"31",2025-03-17 02:30:00,0.01,25,56578
"32",2025-03-17 02:45:00,0.01,25,56578
"33",2025-03-17 03:00:00,0.03,25,56578
"34",2025-03-17 03:15:00,0.03,25,56578
"35",2025-03-17 03:30:00,0.08,25,56578
"36",2025-03-17 03:45:00,0.05,25,56578
"37",2025-03-17 04:00:00,0.01,25,56578
"38",2025-03-17 04:15:00,0.01,25,56578
"39",2025-03-17 04:30:00,0.03,25,56578
"40",2025-03-17 05:00:00,0.01,25,56578
"41",2025-03-20 19:00:00,0.01,25,56579
"42",2025-03-20 19:15:00,0.04,25,56579
"43",2025-03-20 19:30:00,0.07,25,56579
"44",2025-03-20 19:45:00,0.08,25,56579
"45",2025-03-20 20:00:00,0.09,25,56579
"46",2025-03-20 20:15:00,0.06,25,56579
"47",2025-03-20 20:30:00,0.04,25,56579
"48",2025-03-20 20:45:00,0.05,25,56579
"49",2025-03-20 21:00:00,0.03,25,56579
"50",2025-03-20 21:15:00,0.03,25,56579
"51",2025-03-20 21:45:00,0.01,25,56579
"52",2025-03-20 22:00:00,0.02,25,56579
"53",2025-03-20 22:30:00,0.01,25,56579
"54",2025-03-20 22:45:00,0.01,25,56579
"55",2025-03-20 23:15:00,0.01,25,56579
"56",2025-03-23 23:45:00,0.01,25,56580
"57",2025-03-24,0.01,25,56580
"58",2025-03-24 00:45:00,0.03,25,56580
"59",2025-03-24 01:00:00,0.01,25,56580
"60",2025-03-24 01:30:00,0.02,25,56580
"61",2025-03-24 02:30:00,0.01,25,56580
"62",2025-03-24 03:15:00,0.01,25,56580
"63",2025-03-24 03:45:00,0.01,25,56580
"64",2025-03-24 04:00:00,0.01,25,56580
"65",2025-03-24 04:45:00,0.01,25,56580
"66",2025-03-24 06:15:00,0.01,25,56580
"67",2025-03-24 07:00:00,0.01,25,56580
"68",2025-03-24 07:30:00,0.01,25,56580
"69",2025-03-24 07:45:00,0.01,25,56580
"70",2025-03-24 08:15:00,0.02,25,56580
"71",2025-03-24 08:30:00,0.01,25,56580
"72",2025-03-24 08:45:00,0.02,25,56580
"73",2025-03-24 09:00:00,0.02,25,56580
"74",2025-03-24 09:15:00,0.01,25,56580
"75",2025-03-24 09:30:00,0.01,25,56580
"76",2025-03-24 09:45:00,0.01,25,56580
"77",2025-03-24 10:00:00,0.01,25,56580
"78",2025-03-24 10:30:00,0.01,25,56580
"79",2025-03-24 10:45:00,0.01,25,56580
"80",2025-03-24 11:00:00,0.02,25,56580
"81",2025-03-24 11:15:00,0.01,25,56580
"82",2025-03-24 11:30:00,0.01,25,56580
"83",2025-03-24 11:45:00,0.01,25,56580
"84",2025-03-24 12:00:00,0.01,25,56580
"85",2025-03-24 12:15:00,0.01,25,56580
"86",2025-03-24 12:30:00,0.01,25,56580
"87",2025-03-24 13:00:00,0.01,25,56580
"88",2025-03-24 13:15:00,0.01,25,56580
"89",2025-03-24 14:00:00,0.02,25,56580
"90",2025-03-24 14:15:00,0.02,25,56580
"91",2025-03-24 14:30:00,0.02,25,56580
"92",2025-03-24 14:45:00,0.01,25,56580
"93",2025-03-24 15:15:00,0.01,25,56580
"94",2025-03-31 20:15:00,0.18,25,56581
"95",2025-03-31 20:30:00,0.18,25,56581
"96",2025-03-31 20:45:00,0.18,25,56581
"97",2025-03-31 21:00:00,0.08,25,56581
"98",2025-03-31 21:15:00,0.04,25,56581
"99",2025-03-31 21:30:00,0.06,25,56581
"100",2025-03-31 21:45:00,0.03,25,56581
"101",2025-03-31 22:00:00,0.03,25,56581
"102",2025-03-31 22:15:00,0.05,25,56581
"103",2025-03-31 22:30:00,0.04,25,56581
"104",2025-03-31 22:45:00,0.05,25,56581
"105",2025-03-31 23:00:00,0.05,25,56581
"106",2025-03-31 23:15:00,0.01,25,56581
"107",2025-03-31 23:30:00,0.01,25,56581
"108",2025-03-31 23:45:00,0.01,25,56581
"109",2025-04-01,0.01,25,56581
"110",2025-04-01 00:15:00,0.01,25,56581
"111",2025-04-01 00:30:00,0.01,25,56581
"112",2025-04-01 00:45:00,0.05,25,56581
"113",2025-04-01 01:00:00,0.05,25,56581
"114",2025-04-01 01:15:00,0.03,25,56581
"115",2025-04-01 01:30:00,0.01,25,56581
"116",2025-04-03 09:15:00,0.02,25,NA
"117",2025-04-03 09:30:00,0.01,25,NA
"118",2025-04-04 04:00:00,0.3,25,56582
"119",2025-04-04 04:15:00,0.15,25,56582
"120",2025-04-04 04:30:00,0.02,25,56582
"121",2025-04-04 04:45:00,0.1,25,56582
"122",2025-04-04 05:00:00,0.08,25,56582
"123",2025-04-04 05:15:00,0.02,25,56582
"124",2025-04-04 05:30:00,0.02,25,56582
"125",2025-04-04 05:45:00,0.01,25,56582
"126",2025-04-04 06:00:00,0.03,25,56582
"127",2025-04-04 06:15:00,0.01,25,56582
"128",2025-04-05 10:00:00,0.01,25,NA
"129",2025-04-06 13:30:00,0.01,25,NA
"130",2025-04-06 14:15:00,0.01,25,NA
"131",2025-04-07 03:30:00,0.02,25,56583
"132",2025-04-07 03:45:00,0.02,25,56583
"133",2025-04-07 04:00:00,0.01,25,56583
"134",2025-04-07 06:15:00,0.01,25,56583
"135",2025-04-07 07:00:00,0.01,25,56583
"136",2025-04-07 07:15:00,0.01,25,56583
"137",2025-04-07 07:30:00,0.02,25,56583
"138",2025-04-07 07:45:00,0.01,25,56583
"139",2025-04-07 08:15:00,0.01,25,56583
"140",2025-04-07 08:30:00,0.02,25,56583
"141",2025-04-07 08:45:00,0.02,25,56583
"142",2025-04-07 09:00:00,0.01,25,56583
"143",2025-04-07 09:15:00,0.04,25,56583
"144",2025-04-07 09:30:00,0.02,25,56583
"145",2025-04-07 09:45:00,0.01,25,56583
"146",2025-04-07 10:00:00,0.01,25,56583
"147",2025-04-07 10:15:00,0.01,25,56583
"148",2025-04-07 11:00:00,0.01,25,56583
"149",2025-04-11 04:15:00,0.01,25,56584
"150",2025-04-11 05:30:00,0.01,25,56584
"151",2025-04-11 06:15:00,0.01,25,56584
"152",2025-04-11 06:30:00,0.03,25,56584
"153",2025-04-11 06:45:00,0.01,25,56584
"154",2025-04-11 07:00:00,0.04,25,56584
"155",2025-04-11 07:15:00,0.02,25,56584
"156",2025-04-11 07:30:00,0.01,25,56584
"157",2025-04-11 07:45:00,0.01,25,56584
"158",2025-04-11 08:15:00,0.01,25,56584
"159",2025-04-11 11:15:00,0.01,25,56584
"160",2025-04-11 11:45:00,0.02,25,56584
"161",2025-04-11 12:00:00,0.01,25,56584
"162",2025-04-11 12:15:00,0.01,25,56584
"163",2025-04-11 12:30:00,0.02,25,56584
"164",2025-04-11 12:45:00,0.01,25,56584
"165",2025-04-11 13:00:00,0.02,25,56584
"166",2025-04-11 13:15:00,0.01,25,56584
"167",2025-04-11 13:30:00,0.01,25,56584
"168",2025-04-11 13:45:00,0.01,25,56584
"169",2025-04-11 14:00:00,0.01,25,56584
"170",2025-04-11 14:15:00,0.01,25,56584
"171",2025-04-11 14:30:00,0.01,25,56584
"172",2025-04-11 15:00:00,0.02,25,56584
"173",2025-04-11 15:15:00,0.01,25,56584
"174",2025-04-11 15:30:00,0.02,25,56584
"175",2025-04-11 15:45:00,0.01,25,56584
"176",2025-04-11 16:00:00,0.01,25,56584
"177",2025-04-11 16:15:00,0.01,25,56584
"178",2025-04-11 16:45:00,0.01,25,56584
"179",2025-04-11 17:00:00,0.01,25,56584
"180",2025-04-11 17:15:00,0.02,25,56584
"181",2025-04-11 17:30:00,0.03,25,56584
"182",2025-04-11 17:45:00,0.01,25,56584
"183",2025-04-11 18:00:00,0.01,25,56584
"184",2025-04-11 18:15:00,0.01,25,56584
"185",2025-04-11 18:45:00,0.01,25,56584
"186",2025-04-11 19:00:00,0.01,25,56584
"187",2025-04-11 19:15:00,0.01,25,56584
"188",2025-04-11 19:30:00,0.03,25,56584
"189",2025-04-11 19:45:00,0.03,25,56584
"190",2025-04-11 20:00:00,0.03,25,56584
"191",2025-04-11 20:15:00,0.02,25,56584
"192",2025-04-11 20:30:00,0.03,25,56584
"193",2025-04-11 20:45:00,0.04,25,56584
"194",2025-04-11 21:00:00,0.04,25,56584
"195",2025-04-11 21:15:00,0.02,25,56584
"196",2025-04-11 21:45:00,0.01,25,56584
"197",2025-04-11 22:00:00,0.03,25,56584
"198",2025-04-11 22:15:00,0.03,25,56584
"199",2025-04-11 22:30:00,0.03,25,56584
"200",2025-04-11 22:45:00,0.04,25,56584
"201",2025-04-11 23:00:00,0.04,25,56584
"202",2025-04-11 23:15:00,0.07,25,56584
"203",2025-04-11 23:30:00,0.08,25,56584
"204",2025-04-11 23:45:00,0.06,25,56584
"205",2025-04-12,0.07,25,56584
"206",2025-04-12 00:15:00,0.03,25,56584
"207",2025-04-12 00:30:00,0.02,25,56584
"208",2025-04-12 00:45:00,0.02,25,56584
"209",2025-04-12 01:15:00,0.01,25,56584
"210",2025-04-12 02:45:00,0.01,25,56584
"211",2025-04-12 03:15:00,0.03,25,56584
"212",2025-04-12 03:30:00,0.01,25,56584
"213",2025-04-12 12:00:00,0.01,25,NA
"214",2025-04-15 18:00:00,0.01,25,NA
"215",2025-04-26 02:00:00,0.01,25,NA
"216",2025-04-26 02:45:00,0.01,25,NA
"217",2025-04-26 03:15:00,0.01,25,NA
"218",2025-04-26 12:00:00,0.01,25,56585
"219",2025-04-26 12:15:00,0.08,25,56585
"220",2025-04-26 12:30:00,0.01,25,56585
"221",2025-04-26 14:30:00,0.04,25,56585
"222",2025-04-26 14:45:00,0.06,25,56585
"223",2025-04-26 15:00:00,0.29,25,56585
"224",2025-04-26 15:15:00,0.18,25,56585
"225",2025-05-04 12:00:00,0.06,25,56586
"226",2025-05-04 12:15:00,0.04,25,56586
"227",2025-05-04 12:45:00,0.01,25,56586
"228",2025-05-04 15:30:00,0.01,25,56586
"229",2025-05-05 09:00:00,0.01,25,NA
"230",2025-05-05 15:15:00,0.52,25,56587
"231",2025-05-05 15:30:00,0.2,25,56587
"232",2025-05-06 07:30:00,0.01,25,NA
"233",2025-05-09 07:15:00,0.01,25,56588
"234",2025-05-09 10:30:00,0.01,25,56588
"235",2025-05-09 11:45:00,0.01,25,56588
"236",2025-05-09 12:00:00,0.01,25,56588
"237",2025-05-09 12:15:00,0.04,25,56588
"238",2025-05-09 12:30:00,0.03,25,56588
"239",2025-05-09 12:45:00,0.01,25,56588
"240",2025-05-09 13:00:00,0.01,25,56588
"241",2025-05-09 13:45:00,0.01,25,56588
"242",2025-05-13 04:30:00,0.01,25,56589
"243",2025-05-13 07:00:00,0.01,25,56589
"244",2025-05-13 09:00:00,0.01,25,56589
"245",2025-05-13 09:15:00,0.03,25,56589
"246",2025-05-13 09:30:00,0.01,25,56589
"247",2025-05-13 10:15:00,0.01,25,56589
"248",2025-05-13 13:45:00,0.02,25,56589
"249",2025-05-13 14:00:00,0.02,25,56589
"250",2025-05-13 14:15:00,0.01,25,56589
"251",2025-05-13 14:30:00,0.01,25,56589
"252",2025-05-13 15:00:00,0.05,25,56589
"253",2025-05-13 15:45:00,0.01,25,56589
"254",2025-05-13 17:15:00,0.01,25,56589
"255",2025-05-13 18:00:00,0.04,25,56589
"256",2025-05-13 18:15:00,0.03,25,56589
"257",2025-05-13 19:15:00,0.01,25,56589
"258",2025-05-13 22:00:00,0.01,25,56589
"259",2025-05-14 00:45:00,0.04,25,56589
"260",2025-05-14 01:00:00,0.06,25,56589
"261",2025-05-14 01:15:00,0.06,25,56589
"262",2025-05-14 01:30:00,0.09,25,56589
"263",2025-05-14 01:45:00,0.06,25,56589
"264",2025-05-14 02:00:00,0.04,25,56589
"265",2025-05-14 02:15:00,0.03,25,56589
"266",2025-05-14 02:30:00,0.03,25,56589
"267",2025-05-14 02:45:00,0.04,25,56589
"268",2025-05-14 03:00:00,0.1,25,56589
"269",2025-05-14 03:15:00,0.06,25,56589
"270",2025-05-14 03:30:00,0.01,25,56589
"271",2025-05-14 03:45:00,0.03,25,56589
"272",2025-05-14 04:00:00,0.05,25,56589
"273",2025-05-14 04:15:00,0.03,25,56589
"274",2025-05-14 04:30:00,0.06,25,56589
"275",2025-05-14 04:45:00,0.02,25,56589
"276",2025-05-14 05:00:00,0.01,25,56589
"277",2025-05-14 08:15:00,0.01,25,56589
"278",2025-05-14 08:30:00,0.01,25,56589
"279",2025-05-14 09:15:00,0.02,25,56589
"280",2025-05-14 09:30:00,0.24,25,56589
"281",2025-05-14 09:45:00,0.12,25,56589
"282",2025-05-14 10:15:00,0.01,25,56589
"283",2025-05-14 10:45:00,0.02,25,56589
"284",2025-05-14 11:00:00,0.01,25,56589
"285",2025-05-14 11:15:00,0.01,25,56589
"286",2025-05-14 11:30:00,0.01,25,56589
"287",2025-05-14 15:30:00,0.01,25,56589
"288",2025-05-15 04:45:00,0.02,25,NA
"289",2025-05-15 05:00:00,0.04,25,NA
"290",2025-05-16 10:30:00,0.01,25,56590
"291",2025-05-16 10:45:00,0.01,25,56590
"292",2025-05-16 11:00:00,0.46,25,56590
"293",2025-05-16 11:15:00,0.73,25,56590
"294",2025-05-16 11:30:00,0.47,25,56590
"295",2025-05-16 13:00:00,0.01,25,56590
"296",2025-05-21 10:15:00,0.01,25,56591
"297",2025-05-21 10:30:00,0.01,25,56591
"298",2025-05-21 10:45:00,0.02,25,56591
"299",2025-05-21 11:00:00,0.01,25,56591
"300",2025-05-21 11:15:00,0.01,25,56591
"301",2025-05-21 14:45:00,0.01,25,56591
"302",2025-05-21 15:30:00,0.01,25,56591
"303",2025-05-21 17:00:00,0.01,25,56591
"304",2025-05-21 20:45:00,0.01,25,56591
"305",2025-05-21 21:15:00,0.01,25,56591
"306",2025-05-21 21:30:00,0.01,25,56591
"307",2025-05-21 21:45:00,0.03,25,56591
