"Plot Title: 1140-3-1_SW1_LVL_10744837"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 10744837, SEN S/N: 10744837, LBL: psi)","Temp, °F (LGR S/N: 10744837, SEN S/N: 10744837, LBL: F)","Coupler Detached (LGR S/N: 10744837)","Coupler Attached (LGR S/N: 10744837)","Host Connected (LGR S/N: 10744837)","Stopped (LGR S/N: 10744837)","End Of File (LGR S/N: 10744837)"
1,03/10/25 12:45:00 PM,14.6007,76.181,Logged,,,,
2,03/10/25 01:00:00 PM,14.6052,77.574,,,,,
3,03/10/25 01:15:00 PM,14.6044,78.274,,,,,
4,03/10/25 01:30:00 PM,14.6049,79.326,,,,,
5,03/10/25 01:45:00 PM,14.6021,79.853,,,,,
6,03/10/25 02:00:00 PM,14.5967,80.029,,,,,
7,03/10/25 02:15:00 PM,14.5962,79.853,,,,,
8,03/10/25 02:30:00 PM,14.5896,79.678,,,,,
9,03/10/25 02:45:00 PM,14.5902,79.853,,,,,
10,03/10/25 03:00:00 PM,14.5809,76.528,,,,,
11,03/10/25 03:15:00 PM,14.5775,72.199,,,,,
12,03/10/25 03:30:00 PM,14.5746,70.824,,,,,
13,03/10/25 03:45:00 PM,14.5732,69.449,,,,,
14,03/10/25 04:00:00 PM,14.5779,69.964,,,,,
15,03/10/25 04:15:00 PM,14.5744,70.308,,,,,
16,03/10/25 04:30:00 PM,14.5699,69.793,,,,,
17,03/10/25 04:45:00 PM,14.5670,67.906,,,,,
18,03/10/25 05:00:00 PM,14.5641,66.537,,,,,
19,03/10/25 05:15:00 PM,14.5698,67.392,,,,,
20,03/10/25 05:30:00 PM,14.5718,67.564,,,,,
21,03/10/25 05:45:00 PM,14.5701,66.537,,,,,
22,03/10/25 06:00:00 PM,14.5730,65.509,,,,,
23,03/10/25 06:15:00 PM,14.5695,62.940,,,,,
24,03/10/25 06:30:00 PM,14.5690,59.851,,,,,
25,03/10/25 06:45:00 PM,14.5692,57.441,,,,,
26,03/10/25 07:00:00 PM,14.5699,55.189,,,,,
27,03/10/25 07:15:00 PM,14.5692,52.925,,,,,
28,03/10/25 07:30:00 PM,14.5705,51.874,,,,,
29,03/10/25 07:45:00 PM,14.5719,50.819,,,,,
30,03/10/25 08:00:00 PM,14.5761,48.695,,,,,
31,03/10/25 08:15:00 PM,14.5790,48.695,,,,,
32,03/10/25 08:30:00 PM,14.5775,47.624,,,,,
33,03/10/25 08:45:00 PM,14.5808,45.648,,,,,
34,03/10/25 09:00:00 PM,14.5773,45.466,,,,,
35,03/10/25 09:15:00 PM,14.5837,45.104,,,,,
36,03/10/25 09:30:00 PM,14.5840,44.195,,,,,
37,03/10/25 09:45:00 PM,14.5883,42.548,,,,,
38,03/10/25 10:00:00 PM,14.5891,41.254,,,,,
39,03/10/25 10:15:00 PM,14.5875,40.134,,,,,
40,03/10/25 10:30:00 PM,14.5824,38.818,,,,,
41,03/10/25 10:45:00 PM,14.5847,38.061,,,,,
42,03/10/25 11:00:00 PM,14.5833,38.061,,,,,
43,03/10/25 11:15:00 PM,14.5828,39.007,,,,,
44,03/10/25 11:30:00 PM,14.5808,38.818,,,,,
45,03/10/25 11:45:00 PM,14.5811,37.297,,,,,
46,03/11/25 12:00:00 AM,14.5783,35.758,,,,,
47,03/11/25 12:15:00 AM,14.5751,34.590,,,,,
48,03/11/25 12:30:00 AM,14.5746,33.805,,,,,
49,03/11/25 12:45:00 AM,14.5759,33.213,,,,,
50,03/11/25 01:00:00 AM,14.5714,32.617,,,,,
51,03/11/25 01:15:00 AM,14.5682,32.018,,,,,
52,03/11/25 01:30:00 AM,14.5692,31.816,,,,,
53,03/11/25 01:45:00 AM,14.5711,31.415,,,,,
54,03/11/25 02:00:00 AM,14.5705,31.213,,,,,
55,03/11/25 02:15:00 AM,14.5699,31.012,,,,,
56,03/11/25 02:30:00 AM,14.5709,30.808,,,,,
57,03/11/25 02:45:00 AM,14.5674,30.607,,,,,
