"Plot Title: 1140-3-2_OW1_LVL_10217755"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 10217755, SEN S/N: 10217755, LBL: psi)","Temp, °F (LGR S/N: 10217755, SEN S/N: 10217755, LBL: F)","Coupler Detached (LGR S/N: 10217755)","Coupler Attached (LGR S/N: 10217755)","Host Connected (LGR S/N: 10217755)","Stopped (LGR S/N: 10217755)","End Of File (LGR S/N: 10217755)"
1,02/25/25 11:45:00 AM,14.6089,70.651,Logged,,,,
2,02/25/25 12:00:00 PM,14.6047,76.528,,,,,
3,02/25/25 12:15:00 PM,14.5994,77.225,,,,,
4,02/25/25 12:30:00 PM,14.5995,67.564,,,,,
5,02/25/25 12:45:00 PM,14.5951,57.785,,,,,
6,02/25/25 01:00:00 PM,14.5846,52.225,,,,,
7,02/25/25 01:15:00 PM,14.5785,48.695,,,,,
8,02/25/25 01:30:00 PM,14.5786,46.728,,,,,
9,02/25/25 01:45:00 PM,14.5834,45.286,,,,,
10,02/25/25 02:00:00 PM,14.5806,44.379,,,,,
11,02/25/25 02:15:00 PM,14.5776,43.831,,,,,
12,02/25/25 02:30:00 PM,14.5750,43.466,,,,,
13,02/25/25 02:45:00 PM,14.5730,43.282,,,,,
14,02/25/25 03:00:00 PM,14.5695,43.099,,,,,
15,02/25/25 03:15:00 PM,14.5709,43.099,,,,,
16,02/25/25 03:30:00 PM,14.5748,42.915,,,,,
17,02/25/25 03:45:00 PM,14.5779,42.915,,,,,
18,02/25/25 04:00:00 PM,14.5779,42.915,,,,,
19,02/25/25 04:15:00 PM,14.5793,42.915,,,,,
20,02/25/25 04:30:00 PM,14.5824,42.915,,,,,
21,02/25/25 04:45:00 PM,14.5838,42.915,,,,,
22,02/25/25 05:00:00 PM,14.5869,42.915,,,,,
23,02/25/25 05:15:00 PM,14.5878,42.732,,,,,
24,02/25/25 05:30:00 PM,14.5928,42.915,,,,,
25,02/25/25 05:45:00 PM,14.5982,42.732,,,,,
26,02/25/25 06:00:00 PM,14.6012,42.732,,,,,
27,02/25/25 06:15:00 PM,14.6072,42.732,,,,,
28,02/25/25 06:30:00 PM,14.6086,42.732,,,,,
29,02/25/25 06:45:00 PM,14.6102,42.732,,,,,
30,02/25/25 07:00:00 PM,14.6117,42.732,,,,,
31,02/25/25 07:15:00 PM,14.6117,42.732,,,,,
32,02/25/25 07:30:00 PM,14.6092,42.915,,,,,
33,02/25/25 07:45:00 PM,14.6107,42.915,,,,,
34,02/25/25 08:00:00 PM,14.6168,42.915,,,,,
35,02/25/25 08:15:00 PM,14.6168,42.915,,,,,
36,02/25/25 08:30:00 PM,14.6227,42.915,,,,,
37,02/25/25 08:45:00 PM,14.6227,42.915,,,,,
38,02/25/25 09:00:00 PM,14.6213,42.915,,,,,
39,02/25/25 09:15:00 PM,14.6256,42.915,,,,,
40,02/25/25 09:30:00 PM,14.6272,42.915,,,,,
41,02/25/25 09:45:00 PM,14.6297,42.732,,,,,
42,02/25/25 10:00:00 PM,14.6287,42.915,,,,,
43,02/25/25 10:15:00 PM,14.6326,42.732,,,,,
