"Plot Title: 1140-3-2_OW2_LVL_10719655"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 10719655, SEN S/N: 10719655, LBL: PSI)","Temp, °F (LGR S/N: 10719655, SEN S/N: 10719655, LBL: F)","Coupler Detached (LGR S/N: 10719655)","Coupler Attached (LGR S/N: 10719655)","Host Connected (LGR S/N: 10719655)","Stopped (LGR S/N: 10719655)","End Of File (LGR S/N: 10719655)"
1,02/25/25 11:45:00 AM,14.6327,70.995,Logged,,,,
2,02/25/25 12:00:00 PM,14.6292,71.339,,,,,
3,02/25/25 12:15:00 PM,14.6156,59.680,,,,,
4,02/25/25 12:30:00 PM,14.6134,52.576,,,,,
5,02/25/25 12:45:00 PM,14.6072,48.339,,,,,
6,02/25/25 01:00:00 PM,14.5991,45.828,,,,,
7,02/25/25 01:15:00 PM,14.5931,44.013,,,,,
8,02/25/25 01:30:00 PM,14.5943,42.915,,,,,
9,02/25/25 01:45:00 PM,14.5986,42.363,,,,,
10,02/25/25 02:00:00 PM,14.5953,41.810,,,,,
11,02/25/25 02:15:00 PM,14.5941,41.439,,,,,
12,02/25/25 02:30:00 PM,14.5904,41.254,,,,,
13,02/25/25 02:45:00 PM,14.5898,41.067,,,,,
14,02/25/25 03:00:00 PM,14.5837,41.067,,,,,
15,02/25/25 03:15:00 PM,14.5862,40.881,,,,,
16,02/25/25 03:30:00 PM,14.5908,40.881,,,,,
17,02/25/25 03:45:00 PM,14.5922,40.881,,,,,
18,02/25/25 04:00:00 PM,14.5922,40.881,,,,,
19,02/25/25 04:15:00 PM,14.5953,40.881,,,,,
20,02/25/25 04:30:00 PM,14.5953,40.881,,,,,
21,02/25/25 04:45:00 PM,14.5983,40.881,,,,,
22,02/25/25 05:00:00 PM,14.6008,40.696,,,,,
23,02/25/25 05:15:00 PM,14.6038,40.696,,,,,
24,02/25/25 05:30:00 PM,14.6069,40.696,,,,,
25,02/25/25 05:45:00 PM,14.6146,40.696,,,,,
26,02/25/25 06:00:00 PM,14.6192,40.696,,,,,
27,02/25/25 06:15:00 PM,14.6223,40.696,,,,,
28,02/25/25 06:30:00 PM,14.6223,40.696,,,,,
29,02/25/25 06:45:00 PM,14.6284,40.696,,,,,
30,02/25/25 07:00:00 PM,14.6284,40.696,,,,,
31,02/25/25 07:15:00 PM,14.6284,40.696,,,,,
32,02/25/25 07:30:00 PM,14.6268,40.696,,,,,
33,02/25/25 07:45:00 PM,14.6284,40.696,,,,,
