temp,p
32.00,62.4180
32.18,62.4184
32.36,62.4188
32.54,62.4192
32.72,62.4196
32.90,62.4200
33.08,62.4203
33.26,62.4207
33.44,62.4210
33.62,62.4214
33.80,62.4217
33.98,62.4220
34.16,62.4223
34.34,62.4226
34.52,62.4228
34.70,62.4232
34.88,62.4234
35.06,62.4236
35.24,62.4238
35.42,62.4241
35.60,62.4243
35.78,62.4245
35.96,62.4247
36.14,62.4248
36.32,62.4250
36.50,62.4252
36.68,62.4253
36.86,62.4255
37.04,62.4256
37.22,62.4257
37.40,62.4258
37.58,62.4259
37.76,62.4260
37.94,62.4260
38.12,62.4261
38.30,62.4262
38.48,62.4262
38.66,62.4262
38.84,62.4263
39.02,62.4263
39.20,62.4263
39.38,62.4263
39.56,62.4263
39.74,62.4262
39.92,62.4262
40.10,62.4262
40.28,62.4261
40.46,62.4260
40.64,62.4260
40.82,62.4258
41.00,62.4258
41.18,62.4257
41.36,62.4255
41.54,62.4254
41.72,62.4253
41.90,62.4252
42.08,62.4250
42.26,62.4248
42.44,62.4247
42.62,62.4245
42.80,62.4243
42.98,62.4241
43.16,62.4239
43.34,62.4237
43.52,62.4234
43.70,62.4232
43.88,62.4230
44.06,62.4227
44.24,62.4224
44.42,62.4222
44.60,62.4218
44.78,62.4216
44.96,62.4213
45.14,62.4210
45.32,62.4207
45.50,62.4203
45.68,62.4200
45.86,62.4196
46.04,62.4193
46.22,62.4189
46.40,62.4185
46.58,62.4182
46.76,62.4178
46.94,62.4173
47.12,62.4170
47.30,62.4165
47.48,62.4161
47.66,62.4157
47.84,62.4152
48.02,62.4148
48.20,62.4143
48.38,62.4139
48.56,62.4134
48.74,62.4129
48.92,62.4124
49.10,62.4119
49.28,62.4114
49.46,62.4109
49.64,62.4103
49.82,62.4098
50.00,62.4092
50.18,62.4087
50.36,62.4081
50.54,62.4075
50.72,62.4070
50.90,62.4064
51.08,62.4058
51.26,62.4052
51.44,62.4046
51.62,62.4039
51.80,62.4033
51.98,62.4027
52.16,62.4021
52.34,62.4014
52.52,62.4007
52.70,62.4001
52.88,62.3994
53.06,62.3987
53.24,62.3980
53.42,62.3973
53.60,62.3966
53.78,62.3959
53.96,62.3952
54.14,62.3944
54.32,62.3937
54.50,62.3929
54.68,62.3922
54.86,62.3914
55.04,62.3906
55.22,62.3899
55.40,62.3891
55.58,62.3883
55.76,62.3875
55.94,62.3867
56.12,62.3859
56.30,62.3850
56.48,62.3842
56.66,62.3833
56.84,62.3825
57.02,62.3816
57.20,62.3808
57.38,62.3799
57.56,62.3790
57.74,62.3781
57.92,62.3773
58.10,62.3763
58.28,62.3755
58.46,62.3745
58.64,62.3736
58.82,62.3726
59.00,62.3717
59.18,62.3708
59.36,62.3698
59.54,62.3689
59.72,62.3679
59.90,62.3670
60.08,62.3660
60.26,62.3650
60.44,62.3640
60.62,62.3630
60.80,62.3620
60.98,62.3609
61.16,62.3599
61.34,62.3589
61.52,62.3579
61.70,62.3568
61.88,62.3557
62.06,62.3547
62.24,62.3536
62.42,62.3525
62.60,62.3514
62.78,62.3504
62.96,62.3492
63.14,62.3482
63.32,62.3471
63.50,62.3459
63.68,62.3448
63.86,62.3437
64.04,62.3426
64.22,62.3414
64.40,62.3402
64.58,62.3391
64.76,62.3379
64.94,62.3368
65.12,62.3356
65.30,62.3344
65.48,62.3332
65.66,62.3320
65.84,62.3308
66.02,62.3296
66.20,62.3284
66.38,62.3271
66.56,62.3259
66.74,62.3246
66.92,62.3234
67.10,62.3221
67.28,62.3209
67.46,62.3196
67.64,62.3183
67.82,62.3171
68.00,62.3158
68.18,62.3145
68.36,62.3132
