"","dtime","rainfall_in","gage_uid","gage_event_uid"
"1",2024-03-02 00:30:00,0.01,17,39448
"2",2024-03-02 00:45:00,0.01,17,39448
"3",2024-03-02 01:00:00,0.01,17,39448
"4",2024-03-02 01:15:00,0.01,17,39448
"5",2024-03-02 02:15:00,0.01,17,39448
"6",2024-03-02 02:30:00,0.01,17,39448
"7",2024-03-02 03:00:00,0.01,17,39448
"8",2024-03-02 03:15:00,0.01,17,39448
"9",2024-03-02 03:30:00,0.01,17,39448
"10",2024-03-02 04:00:00,0.01,17,39448
"11",2024-03-02 05:00:00,0.01,17,39448
"12",2024-03-02 05:15:00,0.01,17,39448
"13",2024-03-02 05:30:00,0.02,17,39448
"14",2024-03-02 05:45:00,0.03,17,39448
"15",2024-03-02 06:00:00,0.04,17,39448
"16",2024-03-02 06:15:00,0.02,17,39448
"17",2024-03-02 06:30:00,0.02,17,39448
"18",2024-03-02 06:45:00,0.02,17,39448
"19",2024-03-02 07:00:00,0.01,17,39448
"20",2024-03-02 07:15:00,0.01,17,39448
"21",2024-03-02 07:30:00,0.02,17,39448
"22",2024-03-02 07:45:00,0.01,17,39448
"23",2024-03-02 08:00:00,0.03,17,39448
"24",2024-03-02 08:15:00,0.02,17,39448
"25",2024-03-02 08:30:00,0.03,17,39448
"26",2024-03-02 08:45:00,0.03,17,39448
"27",2024-03-02 09:00:00,0.02,17,39448
"28",2024-03-02 09:15:00,0.01,17,39448
"29",2024-03-02 09:30:00,0.02,17,39448
"30",2024-03-02 09:45:00,0.02,17,39448
"31",2024-03-02 10:00:00,0.02,17,39448
"32",2024-03-02 10:15:00,0.05,17,39448
"33",2024-03-02 10:30:00,0.05,17,39448
"34",2024-03-02 10:45:00,0.04,17,39448
"35",2024-03-02 11:00:00,0.02,17,39448
"36",2024-03-02 11:15:00,0.02,17,39448
"37",2024-03-02 11:30:00,0.02,17,39448
"38",2024-03-02 11:45:00,0.05,17,39448
"39",2024-03-02 12:00:00,0.06,17,39448
"40",2024-03-02 12:15:00,0.04,17,39448
"41",2024-03-02 12:30:00,0.05,17,39448
"42",2024-03-02 12:45:00,0.04,17,39448
"43",2024-03-02 13:00:00,0.05,17,39448
"44",2024-03-02 13:15:00,0.05,17,39448
"45",2024-03-02 13:30:00,0.05,17,39448
"46",2024-03-02 13:45:00,0.04,17,39448
"47",2024-03-02 14:00:00,0.03,17,39448
"48",2024-03-02 14:15:00,0.04,17,39448
"49",2024-03-02 14:30:00,0.04,17,39448
"50",2024-03-02 14:45:00,0.03,17,39448
"51",2024-03-02 15:00:00,0.01,17,39448
"52",2024-03-02 15:15:00,0.01,17,39448
"53",2024-03-02 16:00:00,0.01,17,39448
"54",2024-03-02 16:45:00,0.01,17,39448
"55",2024-03-02 17:45:00,0.01,17,39448
"56",2024-03-05 02:30:00,0.01,17,39449
"57",2024-03-05 04:15:00,0.01,17,39449
"58",2024-03-05 04:30:00,0.01,17,39449
"59",2024-03-05 04:45:00,0.01,17,39449
"60",2024-03-05 05:00:00,0.01,17,39449
"61",2024-03-05 05:15:00,0.02,17,39449
"62",2024-03-05 05:30:00,0.02,17,39449
"63",2024-03-05 05:45:00,0.01,17,39449
"64",2024-03-05 06:00:00,0.04,17,39449
"65",2024-03-05 06:15:00,0.01,17,39449
"66",2024-03-05 06:45:00,0.01,17,39449
"67",2024-03-05 08:00:00,0.01,17,39449
"68",2024-03-05 09:15:00,0.01,17,39449
"69",2024-03-05 13:30:00,0.01,17,39449
"70",2024-03-05 14:00:00,0.01,17,39449
